GeoFips,GeoName,LineCode,Description,2018,2019
1000,Alabama,1,Personal income (millions of dollars),208752.7,216449
1000,Alabama,2,Population (persons) 1/,4887681,4903185
1000,Alabama,3,Per capita personal income (dollars) 2/,42710,44145
2000,Alaska *,1,Personal income (millions of dollars),44369.6,45945.1
2000,Alaska *,2,Population (persons) 1/,735139,731545
2000,Alaska *,3,Per capita personal income (dollars) 2/,60355,62806
4000,Arizona,1,Personal income (millions of dollars),319226.3,335243.1
4000,Arizona,2,Population (persons) 1/,7158024,7278717
4000,Arizona,3,Per capita personal income (dollars) 2/,44597,46058
5000,Arkansas,1,Personal income (millions of dollars),130397.5,134682.7
5000,Arkansas,2,Population (persons) 1/,3009733,3017804
5000,Arkansas,3,Per capita personal income (dollars) 2/,43325,44629
6000,California,1,Personal income (millions of dollars),2514503.4,2632279.8
6000,California,2,Population (persons) 1/,39461588,39512223
6000,California,3,Per capita personal income (dollars) 2/,63720,66619
8000,Colorado,1,Personal income (millions of dollars),335195.8,352184.7
8000,Colorado,2,Population (persons) 1/,5691287,5758736
8000,Colorado,3,Per capita personal income (dollars) 2/,58896,61157
9000,Connecticut,1,Personal income (millions of dollars),267346.2,275556.8
9000,Connecticut,2,Population (persons) 1/,3571520,3565287
9000,Connecticut,3,Per capita personal income (dollars) 2/,74855,77289
10000,Delaware,1,Personal income (millions of dollars),51103.1,53055.3
10000,Delaware,2,Population (persons) 1/,965479,973764
10000,Delaware,3,Per capita personal income (dollars) 2/,52930,54485
11000,District of Columbia,1,Personal income (millions of dollars),56995.8,58864
11000,District of Columbia,2,Population (persons) 1/,701547,705749
11000,District of Columbia,3,Per capita personal income (dollars) 2/,81243,83406
12000,Florida,1,Personal income (millions of dollars),1082702.2,1125984
12000,Florida,2,Population (persons) 1/,21244317,21477737
12000,Florida,3,Per capita personal income (dollars) 2/,50964,52426
13000,Georgia,1,Personal income (millions of dollars),493575.9,512137.9
13000,Georgia,2,Population (persons) 1/,10511131,10617423
13000,Georgia,3,Per capita personal income (dollars) 2/,46957,48236
15000,Hawaii *,1,Personal income (millions of dollars),78436.1,80726.5
15000,Hawaii *,2,Population (persons) 1/,1420593,1415872
15000,Hawaii *,3,Per capita personal income (dollars) 2/,55214,57015
16000,Idaho,1,Personal income (millions of dollars),77992.6,82148.4
16000,Idaho,2,Population (persons) 1/,1750536,1787065
16000,Idaho,3,Per capita personal income (dollars) 2/,44554,45968
17000,Illinois,1,Personal income (millions of dollars),727064.1,744640.7
17000,Illinois,2,Population (persons) 1/,12723071,12671821
17000,Illinois,3,Per capita personal income (dollars) 2/,57145,58764
18000,Indiana,1,Personal income (millions of dollars),316836.5,327712.5
18000,Indiana,2,Population (persons) 1/,6695497,6732219
18000,Indiana,3,Per capita personal income (dollars) 2/,47321,48678
19000,Iowa,1,Personal income (millions of dollars),157980.9,163638.6
19000,Iowa,2,Population (persons) 1/,3148618,3155070
19000,Iowa,3,Per capita personal income (dollars) 2/,50175,51865
20000,Kansas,1,Personal income (millions of dollars),149239,155647.6
20000,Kansas,2,Population (persons) 1/,2911359,2913314
20000,Kansas,3,Per capita personal income (dollars) 2/,51261,53426
21000,Kentucky,1,Personal income (millions of dollars),188876.8,195548.8
21000,Kentucky,2,Population (persons) 1/,4461153,4467673
21000,Kentucky,3,Per capita personal income (dollars) 2/,42338,43770
22000,Louisiana,1,Personal income (millions of dollars),215308.7,220629.7
22000,Louisiana,2,Population (persons) 1/,4659690,4648794
22000,Louisiana,3,Per capita personal income (dollars) 2/,46207,47460
23000,Maine,1,Personal income (millions of dollars),65335.2,68062.4
23000,Maine,2,Population (persons) 1/,1339057,1344212
23000,Maine,3,Per capita personal income (dollars) 2/,48792,50634
24000,Maryland,1,Personal income (millions of dollars),378491.5,390792.5
24000,Maryland,2,Population (persons) 1/,6035802,6045680
24000,Maryland,3,Per capita personal income (dollars) 2/,62708,64640
