,GeoFips,GeoName,LineCode,Description,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,1000,Alabama,1,Personal income (millions of dollars),843.2,697.5,583.7,421.9,435.6,556.3,586.9,683.2,733.7,673.8,705.5,800,1100.6,1568.6,1950.6,2107.4,2214.3,2218.1,2382.4,2617,2513.4,2811.3,3277.2,3487.0,3642.8,3516.5,3980.3,4269.9,4538.5,4732.8,4977.0,5188.3,5360.1,5634.1,5984.1,6497.6,7052.4,7563.9,7991.8,8737.5,9737.7,10628.3,11699.3,12999.1,14638.9,16241.1,18100.1,20324.1,22394.9,25339.9,28151.4,31037.1,34465.5,36396.1,38970.5,42870.2,46098.7,48790.3,51652.0,55558.8,60395.7,64239.8,67929.9,73039.8,76398.0,80848.4,85473.6,89350.0,93981.4,99953.3,103453.1,108355.1,112154.9,115191.8,120211.1,128739.9,136327.3,145175.8,152327.0,157366.8,155145.3,161516.6,167942.8,172804.1,174415.4,180457.7,188711.4,192281.9,199999.8,208752.7,216449.0
1,1000,Alabama,2,Population (persons) 1/,2644000,2647000,2649000,2653000,2661000,2685000,2719000,2743000,2762000,2787000,2814000,2845000,2902000,2950000,2887000,2799000,2770000,2906000,2944000,2969000,3000000,3058000.0,3059000.0,3068000.0,3053000.0,3014000.0,3050000.0,3071000.0,3109000.0,3163000.0,3204000.0,3274000.0,3316000.0,3323000.0,3358000.0,3395000.0,3443000.0,3464000.0,3458000.0,3446000.0,3440000.0,3449846.0,3497452.0,3540080.0,3580769.0,3627805.0,3680533.0,3737204.0,3782736.0,3834120.0,3869444.0,3900368.0,3918533.0,3925263.0,3934100.0,3951824.0,3972520.0,3991569.0,4015262.0,4023842.0,4030219.0,4050055.0,4099156.0,4154014.0,4214202.0,4260229.0,4296800.0,4331102.0,4367935.0,4404701.0,4430141.0,4452173.0,4467634.0,4480089.0,4503491.0,4530729.0,4569805.0,4628981.0,4672840.0,4718206.0,4757938.0,4785437.0,4799069.0,4815588.0,4830081.0,4841799.0,4852347.0,4863525.0,4874486.0,4887681.0,4903185.0
2,1000,Alabama,3,Per capita personal income (dollars) 2/,319,263,220,159,164,207,216,249,266,242,251,281,379,532,676,753,799,763,809,881,838,919.0,1071.0,1137.0,1193.0,1167.0,1305.0,1390.0,1460.0,1496.0,1553.0,1585.0,1616.0,1695.0,1782.0,1914.0,2048.0,2184.0,2311.0,2536.0,2831.0,3081.0,3345.0,3672.0,4088.0,4477.0,4918.0,5438.0,5920.0,6609.0,7275.0,7957.0,8796.0,9272.0,9906.0,10848.0,11604.0,12223.0,12864.0,13807.0,14986.0,15861.0,16572.0,17583.0,18129.0,18977.0,19892.0,20630.0,21516.0,22692.0,23352.0,24338.0,25104.0,25712.0,26693.0,28415.0,29832.0,31362.0,32598.0,33353.0,32608.0,33752.0,34995.0,35884.0,36110.0,37271.0,38891.0,39536.0,41030.0,42710.0,44145.0
3,2000,Alaska *,1,Personal income (millions of dollars),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),391.4,537.4,615.2,649.6,629.3,640.7,676.8,669.3,672.2,700.3,806.3,796.5,831.0,900.7,1008.6,1088.5,1158.7,1263.6,1365.1,1575.3,1799.0,1984.1,2166.8,2507.7,3042.6,4156.8,4893.3,5081.9,5235.9,5546.8,6285.0,7152.3,8733.4,9513.5,10120.6,10965.8,11065.6,10618.1,11067.6,12110.5,12843.3,13405.1,14270.7,15007.3,15513.1,15955.8,16403.0,17276.6,18114.5,18675.7,20078.7,21240.4,22246.5,23239.6,24338.3,25956.9,27726.7,29838.9,32825.1,32896.4,35293.8,37827.8,39169.2,38859.5,41110.4,42505.8,41745.6,42454.4,44369.6,45945.1
4,2000,Alaska *,2,Population (persons) 1/,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),135000.0,158000.0,189000.0,205000.0,215000.0,222000.0,224000.0,231000.0,224000.0,224000.0,229000.0,238000.0,246000.0,256000.0,263000.0,271000.0,271000.0,278000.0,285000.0,296000.0,304328.0,316494.0,326494.0,333232.0,344696.0,370973.0,393115.0,397363.0,402191.0,403544.0,405315.0,418493.0,449606.0,488418.0,513704.0,532496.0,544269.0,539310.0,541984.0,547160.0,553290.0,570193.0,588736.0,599432.0,603308.0,604412.0,608569.0,612968.0,619932.0,624779.0,627963.0,633714.0,642337.0,648414.0,659286.0,666946.0,675302.0,680300.0,687455.0,698895.0,713910.0,722128.0,730443.0,737068.0,736283.0,737498.0,741456.0,739700.0,735139.0,731545.0
5,2000,Alaska *,3,Per capita personal income (dollars) 2/,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2899.0,3401.0,3255.0,3169.0,2927.0,2886.0,3022.0,2897.0,3001.0,3126.0,3521.0,3347.0,3378.0,3518.0,3835.0,4016.0,4276.0,4545.0,4790.0,5322.0,5911.0,6269.0,6636.0,7525.0,8827.0,11205.0,12447.0,12789.0,13018.0,13745.0,15507.0,17091.0,19424.0,19478.0,19701.0,20593.0,20331.0,19688.0,20420.0,22133.0,23213.0,23510.0,24240.0,25036.0,25713.0,26399.0,26953.0,28185.0,29220.0,29892.0,31974.0,33517.0,34634.0,35841.0,36916.0,38919.0,41058.0,43861.0,47749.0,47069.0,49437.0,52384.0,53624.0,52722.0,55835.0,57635.0,56302.0,57394.0,60355.0,62806.0
6,4000,Arizona,1,Personal income (millions of dollars),257.3,224.7,184.5,137,131.8,154.9,180.4,204.8,229,223.3,237.8,252.6,319.5,505.1,690.5,665,679.4,698.9,781.6,934.5,958.7,1064.4,1316.8,1497.6,1590.0,1647.7,1809.3,2039.6,2232.1,2372.2,2618.3,2855.8,3109.9,3349.8,3521.6,3777.1,4003.8,4359.7,4739.3,5437.3,6327.1,7216.1,8255.6,9464.6,10934.2,12336.1,13317.8,14813.2,16646.8,19559.6,22986.6,26477.6,30247.1,32197.4,35452.6,40055.6,44570.3,48739.4,52518.4,56718.4,60862.5,63821.0,67174.6,71692.1,77041.0,84343.7,91989.4,99707.6,108023.1,118057.6,124654.4,135387.5,141344.5,146505.2,155175.0,169638.7,188136.5,209127.0,220735.9,223345.8,211975.3,215523.6,226365.3,236846.1,242856.0,257410.4,271258.0,283199.3,300007.5,319226.3,335243.1
7,4000,Arizona,2,Population (persons) 1/,430000,434000,429000,426000,426000,428000,434000,443000,453000,466000,484000,499000,492000,530000,661000,618000,591000,618000,652000,690000,714000,756000.0,785000.0,842000.0,894000.0,933000.0,987000.0,1053000.0,1125000.0,1193000.0,1261000.0,1321000.0,1407000.0,1471000.0,1521000.0,1556000.0,1584000.0,1614000.0,1646000.0,1682000.0,1737000.0,1794912.0,1896108.0,2008847.0,2125281.0,2224342.0,2286348.0,2347976.0,2427310.0,2517852.0,2638582.0,2737774.0,2810108.0,2889860.0,2968924.0,3067134.0,3183539.0,3308261.0,3437103.0,3535183.0,3622184.0,3684097.0,3788576.0,3915740.0,4065440.0,4245089.0,4432499.0,4586940.0,4736990.0,4883342.0,5023823.0,5160586.0,5273477.0,5396255.0,5510364.0,5652404.0,5839077.0,6029141.0,6167681.0,6280362.0,6343154.0,6407172.0,6472643.0,6554978.0,6632764.0,6730413.0,6829676.0,6941072.0,7044008.0,7158024.0,7278717.0
8,4000,Arizona,3,Per capita personal income (dollars) 2/,598,518,430,322,309,362,416,462,506,479,491,506,649,953,1045,1076,1150,1131,1199,1354,1343,1408.0,1677.0,1779.0,1778.0,1766.0,1833.0,1937.0,1984.0,1988.0,2076.0,2162.0,2210.0,2277.0,2315.0,2427.0,2528.0,2701.0,2879.0,3233.0,3643.0,4020.0,4354.0,4711.0,5145.0,5546.0,5825.0,6309.0,6858.0,7768.0,8712.0,9671.0,10764.0,11141.0,11941.0,13060.0,14000.0,14733.0,15280.0,16044.0,16803.0,17323.0,17731.0,18309.0,18950.0,19869.0,20753.0,21737.0,22804.0,24176.0,24813.0,26235.0,26803.0,27149.0,28161.0,30012.0,32220.0,34686.0,35789.0,35563.0,33418.0,33638.0,34973.0,36132.0,36615.0,38246.0,39718.0,40801.0,42590.0,44597.0,46058.0
9,5000,Arkansas,1,Personal income (millions of dollars),560.4,416.5,381.8,278.5,283.2,341.8,386,460.2,481.6,439.1,479.1,502,676.3,973.7,1051.3,1236.4,1324.1,1371.6,1357.5,1607.5,1508.8,1620.7,1843.6,1917.2,1929.4,1908.2,2073.9,2149.6,2218.9,2311.1,2522.3,2548.0,2771.6,2965.6,3142.2,3412.3,3602.1,4004.8,4254.3,4600.9,5128.5,5626.5,6263.1,7071.2,8376.1,9353.5,10292.1,11378.9,12661.8,14668.8,16088.0,17388.3,19702.6,20702.3,21934.8,24458.4,25982.3,27303.7,28434.8,30505.9,32721.2,34457.5,36459.1,39714.4,41648.4,44288.6,47164.7,50047.9,52508.0,55736.1,57973.4,60969.9,64168.1,65661.6,69547.4,74033.0,78000.3,83068.2,88508.3,91812.1,90246.0,93290.5,99571.5,106984.7,107240.7,113545.5,117671.8,120748.2,125025.7,130397.5,134682.7
