"SAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1000,Alabama,1,Personal income (millions of dollars),843.2,697.5,583.7,421.9,435.6,556.3,586.9,683.2,733.7,673.8,705.5,800,1100.6,1568.6,1950.6,2107.4,2214.3,2218.1,2382.4,2617,2513.4,2811.3,3277.2,3487,3642.8,3516.5,3980.3,4269.9,4538.5,4732.8,4977,5188.3,5360.1,5634.1,5984.1,6497.6,7052.4,7563.9,7991.8,8737.5,9737.7,10628.3,11699.3,12999.1,14638.9,16241.1,18100.1,20324.1,22394.9,25339.9,28151.4,31037.1,34465.5,36396.1,38970.5,42870.2,46098.7,48790.3,51652,55558.8,60395.7,64239.8,67929.9,73039.8,76398,80848.4,85473.6,89350,93981.4,99953.3,103453.1,108355.1,112154.9,115191.8,120211.1,128739.9,136327.3,145175.8,152327,157366.8,155145.3,161516.6,167942.8,172804.1,174415.4,180457.7,188711.4,192281.9,199999.8,208752.7,216449
1000,Alabama,2,Population (persons) 1/,2644000,2647000,2649000,2653000,2661000,2685000,2719000,2743000,2762000,2787000,2814000,2845000,2902000,2950000,2887000,2799000,2770000,2906000,2944000,2969000,3000000,3058000,3059000,3068000,3053000,3014000,3050000,3071000,3109000,3163000,3204000,3274000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
1000,Alabama,3,Per capita personal income (dollars) 2/,319,263,220,159,164,207,216,249,266,242,251,281,379,532,676,753,799,763,809,881,838,919,1071,1137,1193,1167,1305,1390,1460,1496,1553,1585,1616,1695,1782,1914,2048,2184,2311,2536,2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7957,8796,9272,9906,10848,11604,12223,12864,13807,14986,15861,16572,17583,18129,18977,19892,20630,21516,22692,23352,24338,25104,25712,26693,28415,29832,31362,32598,33353,32608,33752,34995,35884,36110,37271,38891,39536,41030,42710,44145
2000,Alaska *,1,Personal income (millions of dollars),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),391.4,537.4,615.2,649.6,629.3,640.7,676.8,669.3,672.2,700.3,806.3,796.5,831,900.7,1008.6,1088.5,1158.7,1263.6,1365.1,1575.3,1799,1984.1,2166.8,2507.7,3042.6,4156.8,4893.3,5081.9,5235.9,5546.8,6285,7152.3,8733.4,9513.5,10120.6,10965.8,11065.6,10618.1,11067.6,12110.5,12843.3,13405.1,14270.7,15007.3,15513.1,15955.8,16403,17276.6,18114.5,18675.7,20078.7,21240.4,22246.5,23239.6,24338.3,25956.9,27726.7,29838.9,32825.1,32896.4,35293.8,37827.8,39169.2,38859.5,41110.4,42505.8,41745.6,42454.4,44369.6,45945.1
2000,Alaska *,2,Population (persons) 1/,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),135000,158000,189000,205000,215000,222000,224000,231000,224000,224000,229000,238000,246000,256000,263000,271000,271000,278000,285000,296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545
2000,Alaska *,3,Per capita personal income (dollars) 2/,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2899,3401,3255,3169,2927,2886,3022,2897,3001,3126,3521,3347,3378,3518,3835,4016,4276,4545,4790,5322,5911,6269,6636,7525,8827,11205,12447,12789,13018,13745,15507,17091,19424,19478,19701,20593,20331,19688,20420,22133,23213,23510,24240,25036,25713,26399,26953,28185,29220,29892,31974,33517,34634,35841,36916,38919,41058,43861,47749,47069,49437,52384,53624,52722,55835,57635,56302,57394,60355,62806
4000,Arizona,1,Personal income (millions of dollars),257.3,224.7,184.5,137,131.8,154.9,180.4,204.8,229,223.3,237.8,252.6,319.5,505.1,690.5,665,679.4,698.9,781.6,934.5,958.7,1064.4,1316.8,1497.6,1590,1647.7,1809.3,2039.6,2232.1,2372.2,2618.3,2855.8,3109.9,3349.8,3521.6,3777.1,4003.8,4359.7,4739.3,5437.3,6327.1,7216.1,8255.6,9464.6,10934.2,12336.1,13317.8,14813.2,16646.8,19559.6,22986.6,26477.6,30247.1,32197.4,35452.6,40055.6,44570.3,48739.4,52518.4,56718.4,60862.5,63821,67174.6,71692.1,77041,84343.7,91989.4,99707.6,108023.1,118057.6,124654.4,135387.5,141344.5,146505.2,155175,169638.7,188136.5,209127,220735.9,223345.8,211975.3,215523.6,226365.3,236846.1,242856,257410.4,271258,283199.3,300007.5,319226.3,335243.1
4000,Arizona,2,Population (persons) 1/,430000,434000,429000,426000,426000,428000,434000,443000,453000,466000,484000,499000,492000,530000,661000,618000,591000,618000,652000,690000,714000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717
4000,Arizona,3,Per capita personal income (dollars) 2/,598,518,430,322,309,362,416,462,506,479,491,506,649,953,1045,1076,1150,1131,1199,1354,1343,1408,1677,1779,1778,1766,1833,1937,1984,1988,2076,2162,2210,2277,2315,2427,2528,2701,2879,3233,3643,4020,4354,4711,5145,5546,5825,6309,6858,7768,8712,9671,10764,11141,11941,13060,14000,14733,15280,16044,16803,17323,17731,18309,18950,19869,20753,21737,22804,24176,24813,26235,26803,27149,28161,30012,32220,34686,35789,35563,33418,33638,34973,36132,36615,38246,39718,40801,42590,44597,46058
