State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,Case Rate per 100000 in Last 7 Days,Death Rate per 100K in Last 7 Days
Alaska,10171,null,null,1293,1379,64,null,null,5,8,25.1,0.1
Alabama,167977,147745,20232,6559,3437,2706,2549,157,105,55,19.2,0.3
Arkansas,95246,null,null,6366,3160,1634,null,null,149,54,30.2,0.7
American Samoa,0,null,null,0,0,0,null,null,0,0,0,0
Arizona,227635,222592,5043,5097,3174,5772,5485,287,39,80,10.2,0.1
California,855072,null,null,23847,2162,16639,null,null,411,42,8.6,0.2
Colorado,80777,75285,5492,5855,1418,2160,1781,379,75,37,14.7,0.2
Connecticut,61861,59384,2477,2497,1732,4537,3637,900,15,126,10,0.1
District of Columbia,16132,null,null,435,2296,638,null,null,6,90,8.9,0.1
Delaware,22465,21380,1085,915,2323,660,580,80,11,68,13.5,0.2
Florida,732399,null,null,18497,3439,15595,null,null,691,73,12.4,0.5
Federated States of Micronesia,0,0,0,0,0,0,null,null,0,0,0,0
Georgia,334601,null,null,8459,3181,7470,null,null,211,71,11.5,0.3
Guam,3427,null,null,493,2067,61,null,null,4,36,42.5,0.3
Hawaii,13636,null,null,594,960,183,null,null,20,12,6,0.2
Iowa,102445,null,null,7830,3246,1498,null,null,83,47,35.4,0.4
Idaho,49892,44651,5241,4139,2844,516,475,41,16,29,33.7,0.1
Illinois,330643,327605,3038,20263,2595,9320,9074,246,193,73,22.7,0.2
Indiana,139269,null,null,11042,2081,3836,3609,227,109,57,23.6,0.2
Kansas,69155,65204,3951,5203,2375,838,null,null,115,28,25.5,0.6
Kentucky,83013,71059,11954,6426,1858,1276,1262,14,53,28,20.5,0.2
Louisiana,176209,null,null,3584,3781,5695,5495,200,91,122,11,0.3
Massachusetts,147979,138083,9896,4215,2144,9637,9429,208,87,139,8.7,0.2
Maryland,133548,null,null,4123,2210,4028,3883,145,49,66,9.8,0.1
Maine,5836,5206,630,197,436,144,null,null,2,10,2.1,0
Michigan,154455,139061,15394,9363,1547,7268,6941,327,99,72,13.4,0.1
Minnesota,115943,null,null,8021,2066,2227,2174,53,67,39,20.4,0.2
Missouri,148679,null,null,13028,2427,2420,null,null,186,39,30.4,0.4
Northern Mariana Islands,77,77,0,2,0,2,2,0,0,3,0.5,0
Mississippi,108139,97236,10903,5898,3621,3152,2864,288,101,105,28.2,0.5
Montana,20720,20720,0,4657,1950,229,229,0,36,21,62.6,0.5
North Carolina,236407,229115,7292,13438,2277,3856,3813,43,163,37,18.5,0.2
North Dakota,29653,null,null,4269,3901,370,null,null,60,48,80.2,1.1
Nebraska,54467,null,null,5071,2823,530,null,null,23,27,37.6,0.2
New Hampshire,9349,null,null,549,689,458,null,null,10,33,5.8,0.1
New Jersey,216023,null,null,6173,2425,16191,14402,1789,39,181,9.9,0.1
New Mexico,34290,null,null,2918,1636,921,null,null,25,43,19.9,0.2
Nevada,87405,null,null,3968,2880,1739,null,null,60,57,18.7,0.3
New York,226174,null,null,5906,2030,9118,null,null,34,81,7.6,0
New York City,253313,246836,6477,3968,3016,23915,19264,4651,41,284,6.8,0.1
Ohio,173665,163558,10107,10942,1486,5033,4725,308,63,43,13.4,0.1
Oklahoma,108925,95906,13019,8296,2762,1137,1117,20,53,28,30.1,0.2
Oregon,38160,36440,1720,2526,911,608,593,15,25,14,8.6,0.1
Pennsylvania,175922,169350,6572,9370,1374,8411,null,null,139,65,10.5,0.2
Puerto Rico,56085,27947,28138,3791,1755,743,562,181,28,23,17,0.1
Palau,0,null,null,0,0,0,null,null,0,0,0,0
Rhode Island,27164,null,null,1388,2569,1147,null,null,21,108,18.8,0.3
Republic of Marshall Islands,0,0,0,0,0,0,null,null,0,0,0,0
South Carolina,159809,153729,6080,6104,3143,3593,3387,206,91,70,17.2,0.3
South Dakota,30215,null,null,4309,3425,296,291,5,36,33,69.8,0.6
Tennessee,220538,210016,10522,13083,3258,2828,2698,130,186,41,27.6,0.4
Texas,805082,null,null,27526,2805,16717,null,null,487,58,13.7,0.2
Utah,88963,88963,0,8517,2814,527,523,4,31,16,38.5,0.1
Virginia,162941,153117,9824,7406,1913,3388,3149,239,60,39,12.4,0.1
Virgin Islands,1328,null,null,6,1269,20,null,null,0,19,0.8,0
Vermont,1903,null,null,76,304,58,null,null,0,9,1.7,0
Washington,95509,null,null,4301,1267,2221,null,null,44,29,8.2,0.1
Wisconsin,167082,158578,8504,20889,2874,1547,1536,11,121,26,51.3,0.3
West Virginia,18818,18124,694,1679,1042,391,null,null,22,21,13.3,0.2
Wyoming,8177,6914,1263,1278,1415,57,57,0,4,9,31.6,0.1
United States of America,7894768,3193881,205548,366645,2386,216025,115586,11154,4895,65,15.8,0.2
